id,comuna,ruta,veredicto,paginas,tiene_tablas,rangos,paginas_utiles,confianza,metodo,nota,sesion,fin
concepcion_8b8700f090,concepcion,Ordenanzas ordenadas\concepcion_135_aprueba_nuevo_plan_regulador_comunal_de_concepcion__DEC. 135 MODIF. PLAN REGULADOR.pdf,ESCANEADO,2,si,2-2,1,ALTA,VISUAL,"Decreto 135/2016, 2a Enmienda al PRC. Pag1 solo VISTOS. Pag2 Articulo Unico modifica norma puntual: zona 4.1 (art.21 Ordenanza Local), item Antejardin, reemplaza guarismo 5 por 2. No es tabla completa de zonas, es articulo que modifica un solo parametro para una sola zona.",Ordenanzas S5,2026-07-15T08:13:27
concepcion_8f4fa6462c,concepcion,Ordenanzas ordenadas\OCR ok\concepcion_192_fija_normas_urbanisticas_en_el_plan_regulador_comunal_de_concepcion_cuyas_de__DTO-192_29-MAY-2015.pdf,TEXTO,2,si,1-2,2,ALTA,TEXTO+VISUAL,"CONCEPCION: Decreto 192 (may-2015, LeyChile-BCN) que FIJA NORMAS URBANISTICAS a terrenos cuyas declaratorias de utilidad publica CADUCARON (art 59 LGUC), asimilandolos a la zona predominante adyacente. *** TRAMPA LEYCHILE CONFIRMADA ***: el texto termina en 'de acuerdo a lo senalado en la siguiente tabla:' seguido de UN PUNTO SOLITARIO. La tabla es IMAGEN, esta en la pagina 2, y pdftotext no devuelve ni un caracter de ella. Al renderizar aparece el cuadro con columnas CATEGORIA, NOMBRE, DESDE, HASTA, AFECTACION y ZONAS A LAS QUE SE ASIMILAN, con 3 vias colectoras (Los Naranjos, Camino Los Espanoles, Alto Caracol) asimiladas a las zonas HE3, HE2, PP y PE. Confirmado visualmente.",S1,2026-07-14T15:35:29
concepcion_925f4ce4b0,concepcion,Ordenanzas ordenadas\OCR ok\concepcion_1088_modifica_ordenanza_local_del_plan_regulador_comunal_de_concepcion__DTO-1088_07-OCT-2009.pdf,MIXTO,7,no,,0,MEDIA,,"cuarta modificación: prorroga declaratorias utilidad pública parques + reemplaza cuadros de vialidad (vías troncales, colectoras, servicio, locales estructurantes) y su plano; todo relativo a vialidad, no normas urbanísticas de zona. Las tablas de vialidad tampoco están en el texto (solo encabezados 'reemplácese el cuadro...')",Ordenanzas S4,2026-07-15T07:51:11
concepcion_9a8cb40c36,concepcion,Ordenanzas ordenadas\OCR ok\concepcion_1280_da_1280_24_promulga_enmienda_n16_plan_regulador_comunal__2795910 DIARIO OFICIAL 1BRIL 2026.pdf,TEXTO,1,no,,0,ALTA,TEXTO+VISUAL,"CONCEPCION: Diario Oficial 21-abr-2026, AVISO de 1 pagina que solo pone en conocimiento del publico que el decreto 1280-2024 (Enmienda N16 al PRC), su ordenanza y sus planos estan disponibles en el sitio web municipal (concepcion.cl-plan-regulador), vigente desde el 25-nov-2024. NO contiene la enmienda ni normas. La imagen de la pagina es solo el logo municipal (verificado en el render). El contenido real de la Enmienda N16 hay que buscarlo en otro documento.",S1,2026-07-14T15:36:52
concepcion_fe4de1e199,concepcion,Ordenanzas ordenadas\concepcion_548_fijense_normas_urbanisticas_en_el_plan_regulador_comunal_de_concepcion_publi__DEC. 548 PLAN REGULADOR.pdf,ESCANEADO,3,si,1-3,3,ALTA,VISUAL,"Decreto 548/2015 Fijense normas urbanisticas. Pag1 VISTOS+puntos1-2: tabla que asimila normas de fajas de terreno desafectadas a zonas predominantes adyacentes (Via/Desde/Hasta/D.U.P./Ancho Exist./Ancho Proy./Zonas asimiladas), codigos H1-H5,CU3a-CU4d,HR2-HR3,HE1-HE3,MC,AV,PP,PE,P. Pag2-3 continua misma tabla (decenas de filas de calles) hasta firmas pag3. OJO: no es tabla clasica de parametros COS/CC/altura por zona, sino tabla que ASIGNA codigo de zona a tramos de via -los valores de esas zonas estan en la ordenanza base, no aqui.",Ordenanzas S5,2026-07-15T08:13:27
conchali_63ecbc762a,conchali,Ordenanzas ordenadas\OCR ok\conchali_292_municipalidad_de_conchali_aprueba_plan_regulador_comunal__Exportar.pdf,MIXTO,27,si,7-23,17,ALTA,VISUAL,"Dec.292/2013 aprueba PRC Conchali completo (Ordenanza Local). TRAMPA CONFIRMADA: TODAS las tablas de zona son IMAGEN JPEG, el texto solo saca el titulo del cuadro y deja un punto solitario. Art.15 (zonificacion, lista de zonas) y Art.16 (inicio normas por zona) en p7. p7-23: una seccion por zona con Uso de Suelo + Normas de Edificacion (COS 1er/2do piso, COS pisos superiores, CC, agrupamiento, altura max, predial min) + Loteos/Subdivisiones, para ZM-1 a ZM-7, ZR-1, ZR-2, ZE-1, ZCH, Z-1, ZAV/Z2, ZES-1, Es-2. Verificado por render p7,8,20,22,23. p23 (parte inferior) cierra con Es-2 y arranca Cap.V Vialidad en la misma pagina. EXCLUIDAS: p3 coordenadas limite urbano, p6 dotacion estacionamientos, p23(inf)-25 vialidad estructurante (todas imagen pero no son norma de zona).",S3,2026-07-15T07:56:15
conchali_f675d974d0,conchali,Ordenanzas ordenadas\OCR ok\conchali_302_municipalidad_de_conchali_establece_normas_urbanisticas_mediante_la_asignaci__Exportar.pdf,TEXTO,2,si,1-2,2,ALTA,TEXTO+VISUAL,"CONCHALI: Decreto 302 exento (2011, LeyChile-BCN) que ESTABLECE NORMAS URBANISTICAS asignando zonas del PRC a predios afectos a declaratoria de utilidad publica caducada (art 59 LGUC). *** TRAMPA LEYCHILE CONFIRMADA ***: el texto trae DOS PUNTOS SOLITARIOS (uno por epigrafe) donde deberian ir las tablas; pdftotext no devuelve ni un caracter de ellas. Ambas tablas son IMAGEN y estan en la PAGINA 2: (1) 'Nuevas Normas Urbanisticas en Calle con Declaratoria de Utilidad Publica Caduca' para Av. General Gambino, con columnas nombre, codigo PRMS, perfil, categoria, tramo, ancho minimo proyectado, ancho existente, tipo, orientacion y ZONA ASIMILABLE (Z4); (2) tabla de Parques Adyacentes a Sistemas Viales (art 5.2.2.2 PRMS) con zonificacion anterior Z2 y nuevas zonas asimilables Z1 Sur, Z4, Z1 Norte y Z3 (Parque Conchali-Ruta 5 Norte y Av. Americo Vespucio). Confirmado visualmente.",S1,2026-07-14T15:35:29
copiapo_255ce55501,copiapo,Ordenanzas ordenadas\OCR ok\copiapo_14092_introduce_enmienda_al_plan_regulador_comunal_de_copiapo_sector_rio_copiapo__2533976.pdf,TEXTO,3,si,1-2,2,ALTA,TEXTO+VISUAL,"COPIAPO: Diario Oficial 22-ago-2024, Enmienda al art 17 de la Ordenanza 'Modificacion PRC de Copiapo', sector Rio Copiapo, zona ZU-RIO-2 'Entre Puentes y Tornini'. *** TRAMPA LEYCHILE-DO CONFIRMADA ***: el texto dice 'donde dice:' y 'debe decir:' seguidos de NADA. Los cuatro recuadros de norma son IMAGENES, todos en la PAGINA 2, y pdftotext no devuelve ni un caracter. Contienen: Altura Maxima 24,5 m pasa a 28 m; Altura Maxima 7 pisos pasa a 8 pisos; Altura Minima primer piso comercial 4,5 m pasa a 3,6 m; Coeficiente de Constructibilidad 2,25 (se mantiene). Confirmado visualmente.",S1,2026-07-14T15:36:52
copiapo_944594b881,copiapo,Ordenanzas ordenadas\OCR ok\copiapo_3381_aprueba_actualizacion_plan_regulador_de_la_comuna_de_copiapo__Exportar.pdf,TEXTO,55,si,"22-40,46-55",29,ALTA,TEXTO+VISUAL,"Dec.3381/2002 Ordenanza Local PRC Copiapo + anexo Dec.2057/2011. p22-40 TEXTO: zonificacion A-F, una seccion por zona con usos y 'Condiciones de Subdivision y Edificacion' (Zona A: predial 400m2, frente 10m, CC 5,0, altura continua 7-12,6m; Zona C: 400m2, COS 60%, CC 1,5; Zona D agricola: 5.000m2, COS 10%, CC 0,15; Zona E industrial: 1.000m2, COS 40%, CC 0,4; Zona F areas verdes: COS 0,01). p47-54 IMAGEN (JPEG): 'CATASTRO Y CUADRO DE NUEVAS NORMAS URBANISTICAS - VIAS CADUCADAS', items 1-59 de vias con la norma a la que se asimila cada tramo (ej. Avda. Copayapu -> Sector Especial C2 + antejardin 3,0m). PATRON LEYCHILE (norma inalcanzable): p43-44 anuncian 'TABLA DE USOS DE SUELO PERMITIDOS' y 'CONDICIONES DE SUBDIVISION Y EDIFICACION' del PRC 2002 pero NO estan en el PDF: remiten a 'VER DIARIO OFICIAL 17.12.2002 paginas 16 y 17'. Esas 2 tablas resumen hay que buscarlas en el DO si se necesitan.",S3,2026-07-14T15:41:16
coquimbo_ef90f788e3,coquimbo,Ordenanzas Descargadas\1-600\coquimbo_plan_regulador_comunal__361c44fd-f33b-43da-814c-8181506894d2.pdf,TEXTO,3,no,,0,MEDIA,,"NO ES UNA ORDENANZA: es la impresion de una pagina web del portal de transparencia con un INDICE DE ENLACES a los documentos del PRC de Coquimbo (memoria, ordenanza, decretos, planos lam1-lam9). Verificadas las 3 paginas en texto y render. El PRC real de Coquimbo esta en otro archivo: si no aparece en la cola, hay que descargarlo.",S3,2026-07-14T15:39:22
corral_635011fb97,corral,Ordenanzas Descargadas\1-600\corral_decreto_exento_1994_designa_como_contraparte_tecnica_y_administrativa_adecuacion__0d7def4c-e080-464a-91e4-f29fa29e5b50.pdf,ESCANEADO,1,no,,0,MEDIA,,"Decreto Exento N1994 (19-oct-2015), 1 pagina completa. Designa contraparte tecnica y administrativa para licitacion de adecuacion de PRC de Corral y Lanco. Puro tramite administrativo de nombramiento, sin normas urbanisticas.",Ordenanzas S5,2026-07-15T08:13:37
corral_6593ce2c24,corral,Ordenanzas Descargadas\1-600\corral_decreto_exento_1094_inuicua_proceso_eae_plan_regulador_comunal_de_corral__2382367c-6b1a-4f2f-b6eb-e6c00ca7ff04.pdf,ESCANEADO,10,no,,0,MEDIA,,"Decreto Exento N1094 (25-abr-2024), 10 paginas, muestreadas pag1,3,5,7,9,10. Inicia proceso EAE del PRC de Corral: vistos, fines y metas IPT, ambito territorial, objetivos ambientales (tabla cualitativa no normativa), organos a convocar, cronograma 2024-2026. Sin tabla de normas urbanisticas -acto procedimental previo a formulacion del plan.",Ordenanzas S5,2026-07-15T08:13:37
corral_dc61d47c44,corral,Ordenanzas Descargadas\1-600\corral_decreto_exento_1350_designa_como_contraparte_municipal_adecuacion_planes_regulad__490abd92-ca8d-44eb-9430-7e70dba725b0.pdf,ESCANEADO,1,no,,0,ALTA,VISUAL,"CORRAL: Decreto Exento 1350 (13-jul-2015, 1p, escaneado sin OCR): designa a Wladimiro Filgueira Toledo (Director SECPLAN) como contraparte municipal para el estudio 'Adecuacion Planes Reguladores Comunales de Corral' ante la Seremi Minvu de Los Rios. Es tramite de designacion de personal, no contiene normas. Verificado visualmente.",S1,2026-07-15T08:13:38
corral_ecbf3d72ac,corral,Ordenanzas Descargadas\1-600\corral_decreto_exento_1904_aprueba_contratacion_directa_profesional_asesor_a_secplan_pa__09ef6a75-3ca4-41ed-96b1-ae4abccc7cbd.pdf,ESCANEADO,1,no,,0,ALTA,VISUAL,"CORRAL: Decreto Exento 1904 (17-nov-2016, 1p, escaneado sin OCR): aprueba contratacion directa a honorarios de una arquitecta como asesora de SECPLAN para las gestiones del Plan Regulador (monto 150.000 mensual, nov-2016 a abr-2017). Es tramite de contratacion de personal, no contiene normas. Verificado visualmente.",S1,2026-07-15T08:13:38
corral_ed3a954a28,corral,Ordenanzas Descargadas\1-600\corral_decreto_exento_2651_aprueba_enmienda_n_1_del_plan_regulador_comunal_de_corral_se__707ddcc9-7670-41ce-b687-0a1fcf0caa6a.pdf,ESCANEADO,13,si,1-3,3,ALTA,VISUAL,"CORRAL: Decreto Exento 2651 (dic-2022, 13p, escaneado sin OCR), APRUEBA LA ENMIENDA N1 al PRC, Sector Estero El Molino - Centro Corral. Norma en pags 1-3 (verificado visualmente en p2, etiquetada pagina 2): modifica Art 21 y 23, Cap IV, Areas-Zonificacion-Uso del Suelo y Normas Especificas, en las zonas ZR-3 y ZU-2: a) en ZR-3 sector Estero El Molino, SUPRIME el uso de suelo permitido tipo equipamiento clase comercio de escala vecinal, agregandolo a usos prohibidos, y pasa a llamarse ZONA ZR-3a Proteccion de quebradas naturales sector Estero El Molino; b) en ZU-2, AGREGA en usos permitidos el equipamiento tipo comercio de escala menor o basica; c) ZR-3a mantiene las normas urbanisticas de ZR-3 salvo lo suprimido; d) el resto de ZR-3 sin alteracion. Agrega plano Enmienda N1 Sector Estero El Molino - Centro Corral. Objetivo: redefinir localizacion del equipamiento vecinal. Resto de las 13 pags son memoria explicativa y anexos administrativos.",S1,2026-07-15T08:15:00
corral_fbbf77a5ff,corral,Ordenanzas Descargadas\1-600\corral_decreto_exento_1566_aprueba_enmienda_n_2_del_plan_regulador_comunal_de_corral_se__b094ba72-9a89-42c5-be5d-15a8f07540d2.pdf,ESCANEADO,5,si,3-4,2,ALTA,VISUAL,"CORRAL: Decreto Exento 1566 (5p, escaneado sin OCR), APRUEBA LA ENMIENDA N2 al PRC, mismo sector Estero El Molino y Cancha de Acopio Corral Bajo. Norma en p3 (verificado visualmente, etiquetada pagina 3): modifica de nuevo las zonas ZR-3 y ZU-3C, Cap IV Art 21 y 23: a en ZR-3 sector Estero El Molino Oriente, SUPRIME el uso de suelo tipo equipamiento comercio de escala vecinal, pasando el sector a formar parte de la Zona ZR-3a creada por la Enmienda N1 decreto 2651; b en ZU-3C sector Cancha de Acopio Corral Bajo, AGREGA en usos permitidos el equipamiento tipo comercio de escala menor o basica, y la zona en ese sector pasa a llamarse Zona ZU-3Ca; c el resto de ZR-3 y ZU-3C sin alteracion. p4 es el plano ZR-3a con simbologia. Objetivo: redefinir localizacion del equipamiento vecinal, recinto de feria costumbrista, tras acuerdo con Portuaria Corral y el Gobierno Regional de Los Rios.",S1,2026-07-15T08:15:12
coyhaique_f2d4009811,coyhaique,Ordenanzas ordenadas\OCR ok\coyhaique_decreto_modifica_plan_regulador_de_coyhaique__ORDENANZAN5MODIFPLANREGULADOR30101997.pdf,TEXTO,5,no,,0,MEDIA,,"Escaneo con 3 ordenanzas de Coyhaique de 1997 (N.05 p1-2, N.04 p3, N.03 p4-5). Solo reasignan poligonos/lotes puntuales entre usos (area verde, equipamiento, habitacional) y los destinan a zonas YA EXISTENTES (Z-6), con superficies en m2. NO fijan ni transcriben COS, CC, altura, densidad ni antejardin. Las 5 paginas renderizadas y miradas.",S3,2026-07-14T15:39:23
curacautin_009727ce47,curacautin,Ordenanzas Descargadas\1-600\curacautin__modifica_ordenanza_municipal_terminal_rodoviario_curacautin__decreto_ex_n_2992__30_10_23__modifica_ordenanza_terminal_rodoviario__dec_ex_1965__27_07_23.pdf,ESCANEADO,2,no,,0,ALTA,VISUAL,"CURACAUTIN: DUPLICADO exacto de sin_comuna_723625febb (mismo Decreto Exento 2992, 30-oct-2023, mismas 2 paginas, misma tabla de cafeteria de 3 a 2 UTM mensual). Modifica Ordenanza Municipal Terminal Rodoviario Curacautin, no es planificacion territorial. Ver nota completa en sin_comuna_723625febb.",S1,2026-07-15T08:13:38
curacautin_0da708ee3b,curacautin,Ordenanzas ordenadas\curacautin__ordenanza_reguladora_de_los_kioskos_de_propiedad_municipal_modificacion__DECRETO EX. N°473 MODIFICA ORDENANZA KIOSKOS MUNICIPALES.pdf,ESCANEADO,8,no,,0,ALTA,visual,"Decreto Ex 473 (14.04.2021), Municipalidad de Curacautin. Modifica Ordenanza Reguladora de Kioscos de Propiedad Municipal (valores en UTM por modulo chico/mediano/grande). No es instrumento de planificacion territorial: sin zonificacion ni normas urbanisticas.",S2,2026-07-15T08:13:58
curacautin_34523bda42,curacautin,Ordenanzas Descargadas\1-600\curacautin__regula_el_transito_vehicular_horarios_de_subida_y_bajada_y_uso_de_cadenas_en_ru__Ordenanza Municipal que regula el tránsito vehícular Ruta R-785.pdf,ESCANEADO,6,no,,0,ALTA,visual,"Decreto Ex 2781 (04.12.2024), Municipalidad de Curacautin. Aprueba Ordenanza Municipal que regula transito vehicular, horarios y uso de cadenas en Ruta R-785 (turismo invierno / riesgo volcanico Lonquimay). No es instrumento de planificacion territorial: sin normas urbanisticas de zona.",S2,2026-07-15T08:13:58
curacautin_772228ac29,curacautin,Ordenanzas Descargadas\1-600\curacautin__modificacion_ordenanza_para_el_funcionamiento_y_derechos_municipales_por_contra__modificacion_ordednanza_feria_de_abasto.pdf,ESCANEADO,10,no,,0,ALTA,visual,"Decreto Ex 1706 (06.07.2023), Municipalidad de Curacautin. Modifica Ordenanza para funcionamiento y derechos municipales por contraprestacion de modulos de la Feria de Abasto. No es instrumento de planificacion territorial: sin normas urbanisticas.",S2,2026-07-15T08:13:58
curacautin_89dc139ea7,curacautin,Ordenanzas Descargadas\1-600\curacautin__la_presente_ordenanza_tiene_por_objeto_conservar_educar_y_regular_las_acciones___ordenanza_de_medio_ambiente_y_proteccion_de_la_biodiversidad.pdf,ESCANEADO,33,no,,0,ALTA,visual,"Decreto Ex 2807 (05.12.2024), Municipalidad de Curacautin. Aprueba Ordenanza de Medio Ambiente y Proteccion de la Biodiversidad. No es instrumento de planificacion territorial (PRC): sin zonificacion ni normas urbanisticas de COS/CC/altura/predial.",S2,2026-07-15T08:13:58
curacautin_8e27bbec5d,curacautin,"Ordenanzas Descargadas\1-600\curacautin__ordenanza_local_sobre_uso_de_mascarilla_en_lugares_que_indica_en_la_comuna_de_c__DEC. EX. N. 569, APRUEBA ORDENANZA LOCAL USO DE MASCARILLA..pdf",ESCANEADO,5,no,,0,ALTA,visual,"Decreto Ex 569 (25.05.2020), Municipalidad de Curacautin. Aprueba Ordenanza Local sobre uso de mascarilla en contexto COVID-19. No es instrumento de planificacion territorial: sin normas urbanisticas.",S2,2026-07-15T08:13:58
curacautin_99c5d6bd65,curacautin,Ordenanzas Descargadas\1-600\curacautin__ordenanza_sobre_derechos_municipales_por_permisos_concesiones_y_servicios_munic__Ordenanza General de Derechos 2022.pdf,TEXTO,29,no,,0,MEDIA,,"Ordenanza de DERECHOS MUNICIPALES de Curacautin (aranceles en UTM y % del presupuesto). Su Titulo XII 'materias relativas a urbanizaciones y construcciones' (p25, art.167) fija solo TARIFAS de tramites DOM (subdivisiones 2% del avaluo, obras nuevas 1,5% del presupuesto) segun art.130 LGUC: NO son normas urbanisticas de zona. Ajena al PRC.",S3,2026-07-14T15:39:49
curacautin_a7dfcee8a8,curacautin,Ordenanzas Descargadas\1-600\curacautin__ordenanza_para_el_funcionamiento_y_derechos_municipales_por_contraprestacion_de__ORDENANZA FUNCIONAMIENTO Y DERECHOS MUNICIPALES MODULOS ARTESANALES.pdf,ESCANEADO,12,no,,0,MEDIA,,"DOCUMENTO NO RELACIONADO: ordenanza de funcionamiento y derechos municipales por módulos artesanales (tarifas), sin relación con PRC/normas urbanísticas - mismo patrón de contaminación de corpus ya visto en otros documentos de Curacautín",Ordenanzas S4,2026-07-15T08:15:03
curacautin_c048f0e2be,curacautin,Ordenanzas Descargadas\1-600\curacautin__ordenanza_municipal_fijacion_de_precios_farmacia_popular__ORDENANZA MUNICIPAL FARMACIA POPULAR.pdf,ESCANEADO,3,no,,0,MEDIA,,"DOCUMENTO NO RELACIONADO: ordenanza municipal de fijación de precios de Farmacia Popular (Depto. Salud), sin relación con PRC/normas urbanísticas - verificado con render",Ordenanzas S4,2026-07-15T08:15:03
curacautin_c429185e50,curacautin,Ordenanzas ordenadas\curacautin__apruebese_la_ordenanza_de_prevencion_y_gestion_de_riesgos_comunales_productos_d__Ordenanza Decreto Incendios Forestales.pdf,ESCANEADO,32,no,,0,MEDIA,,"DOCUMENTO NO RELACIONADO: ordenanza de prevención y gestión de riesgos comunales por incendios forestales (Ley 21.364 SENAPRED), sin relación con PRC/normas urbanísticas - verificado con render",Ordenanzas S4,2026-07-15T08:15:03
curacautin_d987bb92eb,curacautin,Ordenanzas ordenadas\OCR ok\curacautin__ver_detalle_ver_ordenanza__ordenanza_terminal_rodoviario_curacautin.pdf,TEXTO,13,no,,0,MEDIA,,"Ordenanza de funcionamiento del TERMINAL RODOVIARIO de Curacautin (Dec.Ex.1965/2023), escaneada: andenes, locatarios, garantias de arriendo, sanciones. Su unica tabla son garantias en UTM por modulo (venta de pasajes 3,5 UTM, cafeteria 2 UTM). Ajena al PRC. Muestreadas visualmente p1,4,7,10,13.",S3,2026-07-14T15:39:49
curacautin_ed7dc81e83,curacautin,Ordenanzas Descargadas\1-600\curacautin__modificacion_a_la_ordenanza_municipal_que_regula_el_transito_vehicular_horarios__modificacion_a_la_ordenanza_municipal_que_regula_el_transito.pdf,TEXTO,4,no,,0,ALTA,TEXTO,"NO ES PRC: modifica la Ordenanza Municipal de TRANSITO VEHICULAR en la ruta R-785 (horarios de subida/bajada, uso de cadenas, acceso a Reserva Malalcahuello / Centro de Esqui Corralco, multas 1-5 UTM). Texto 4/4 pags. Cero contenido urbanistico. Candidato a descarte.",S2,2026-07-14T15:40:14
curacautin_f06d53b56d,curacautin,Ordenanzas Descargadas\1-600\curacautin__ordenanza_para_funcionamiento_y_derechos_municipales_por_contra_prestacion_de_m__2021_ORDENANZA FUNCIONAMIENTO Y DERECHOS MUNICIPALES  MODULOS FERIA DE ABASTO.pdf,ESCANEADO,11,no,,0,MEDIA,,"DOCUMENTO NO RELACIONADO: ordenanza de funcionamiento y derechos municipales por módulos Feria de Abasto (tarifas), sin relación con PRC/normas urbanísticas - mismo patrón de contaminación de corpus",Ordenanzas S4,2026-07-15T08:15:03
curanilahue_12143527dd,curanilahue,Ordenanzas Descargadas\1-600\curanilahue_acuerdo_299_aprueba_aporte_aprobacion_plan_regulador_comunal__89223b22-0d33-40ae-9f90-ae7042c7a5f3.pdf,ESCANEADO,1,no,,0,MEDIA,,"Acuerdo N299: solo aprueba aporte de $10.000.000 para financiar el proceso de actualización futura del PRC (postulación programa IPT MINVU 2027), trámite presupuestario sin contenido normativo - el PRC de Curanilahue aún no está actualizado",Ordenanzas S4,2026-07-15T08:15:54
curanilahue_f695d8a5fe,curanilahue,Ordenanzas Descargadas\1-600\curanilahue_acuerdo_220_aprueba_imagen_objetivo_de_la_actualizacion_del_plan_regulador_comun__b07f695c-f04f-4634-a2bc-0151251a63e3.pdf,ESCANEADO,1,no,,0,MEDIA,,"Acuerdo N220 Concejo Municipal aprueba imagenes objetivos de actualizacion PRC (etapa temprana, sin normas). 1 pagina, solo texto de acuerdo y firmas.",Ordenanzas S5,2026-07-15T08:15:43
curanilahue_fc21e7ed64,curanilahue,Ordenanzas Descargadas\1-600\curanilahue_aviso_extracto_de_inicio_del_procedimiento_de_evaluacion_ambiental_estrategica_r__e4fb5691-2db5-430d-8736-9350ac1ca166.pdf,TEXTO,2,no,,0,ALTA,TEXTO,"PURO TRAMITE: extracto de INICIO del procedimiento de Evaluacion Ambiental Estrategica de la actualizacion del PRC de Curanilahue (2019). Objetivos, criterios de sustentabilidad, plazo de 30 dias habiles para observaciones. Sin normas. Texto 2/2 pags.",S2,2026-07-14T15:40:14
curico_15db84f200,curico,Ordenanzas ordenadas\OCR ok\curico_1370_modificacion_via_enmienda_a_la_ordenanza_local_del_plan_regulador_cumunal_d__1370.pdf,TEXTO,4,si,2-3,2,ALTA,TEXTO+VISUAL,"Enmienda N2 PRC Curico. TRAMPA: pdftotext solo devuelve los titulos de zona sueltos; los cuadros son IMAGEN (verificado en render 150dpi). p2: cuadro NORMAS DE SUBDIVISION Y EDIFICACION POR USOS zona ZU-4a (predial 210/420/700 m2, COS 0,78/0,52, altura 25,2/13,2 m, densidad 768 hab/ha, antejardin 7 m). p3: mismos cuadros para ZU-6a (densidad 780 hab/ha) y ZU-10a (altura 13,2/8,4 m, antejardin 15 m, densidad 120 hab/ha). p4 solo cierre administrativo.",S2,2026-07-14T15:40:14
curico_4201af67f6,curico,Ordenanzas ordenadas\OCR ok\curico_3042_aprueba_enmienda_a_la_ordenanza_local_del_plan_regulador_comunal_de_curico__3042.pdf,TEXTO,3,no,,0,ALTA,TEXTO+VISUAL,"Enmienda N5 PRC Curico: es SOLO VIALIDAD (desplaza 5,50 m al poniente el trazado del Camino Proyectado N5 para viabilizar una subdivision afecta a utilidad publica). Render de p3 confirma que es un PLANO con vertices A-B-C-D, no un cuadro de normas. Modifica el PRC pero sin norma urbanistica por zona (ni usos, ni COS, ni altura).",S2,2026-07-14T15:40:15
curico_57376ec36d,curico,Ordenanzas ordenadas\OCR ok\curico_3445_aprueba_modificacion_via_enmienda_a_la_ordenanza_local_del_plan_regulador_c__3445.pdf,TEXTO,3,si,3-3,1,ALTA,TEXTO+VISUAL,"Enmienda N3 PRC Curico. TRAMPA: pdftotext solo da el titulo 'ZU-10b ZONA RESIDENCIAL 10b'; el cuadro es IMAGEN (verificado en render). p3: NORMAS DE SUBDIVISION Y EDIFICACION POR USOS zona ZU-10b (predial 140/1750/1050 m2, COS 0,26/0,52, CC 0,325/0,52, altura 13,2/8,4 m, antejardin 3,0 m residencial / 15 m via troncal-colectora / 10 m otra jerarquia, densidad 120 hab/ha). En la misma p3 hay una tabla de coordenadas UTM de vertices A-G: es geometria del poligono, NO norma.",S2,2026-07-14T15:40:15
curico_754b0559ee,curico,Ordenanzas ordenadas\curico_decreto_1806_modificacion_y_adecuaciones_del_plan_regulador_de_curico__1806.pdf,ESCANEADO,1,no,,0,MEDIA,,"Decreto N1806: adjudica por trato directo a consultora Habiterra S.A. el estudio Modificacion y Adecuaciones PRC Curico. Acto administrativo de contratacion, sin normas ni tabla.",Ordenanzas S5,2026-07-15T08:15:43
curico_ae14f9d4de,curico,Ordenanzas Descargadas\1-600\curico_239_aprueba_modificacion_del_plano_regulador__239.pdf,ESCANEADO,6,si,3-6,4,ALTA,VISUAL,"Pag1-2 portada Diario Oficial (avisos varios, extracto breve Decreto239 al final pag2). Pag3-6 Decreto Exento N230 (25-ene-2013) aprueba definitivamente Enmienda N1 al Art.4.1.3 Ordenanza Local PRC Curico: tablas completas Normas de Subdivision y Edificacion por Usos para zonas ZCC, ZU-1 a ZU-11, ZI(Industrial), ZE-2(Equipamiento Comercial): superficie predial minima, COS, coef.constructibilidad, agrupamiento, distanciamiento, altura maxima, antejardin, densidad maxima, altura de cierros.",Ordenanzas S5,2026-07-15T08:15:43
curico_bdcb86f445,curico,Ordenanzas ordenadas\OCR ok\curico_1157_actualizacion_plan_regulador_comunal__1157.pdf,MIXTO,4,no,,0,MEDIA,,"Aviso DO: extracto oficio de inicio del proceso de Evaluacion Ambiental Estrategica (EAE) de la Actualizacion del PRC de Curico. Puro tramite (resumen de antecedentes y criterios de sustentabilidad), sin transcribir norma alguna. El PRC actualizado esta aun en estudio.",S3,2026-07-15T07:52:44
curico_c78a6b8ec3,curico,Ordenanzas Descargadas\1-600\curico_2053_aprueba_retrotraer_proceso_de_difusion_publica_plan_regulador_comunal__2053.pdf,TEXTO,1,no,,0,ALTA,TEXTO,"CURICO: Diario Oficial 4-may-2022, decreto 2053 exento que APRUEBA RETROTRAER EL PROCESO DE DIFUSION PUBLICA del PRC. Tramite administrativo puro (1 pagina), texto completo leido, sin normas.",S1,2026-07-14T15:39:12
curico_dc14bbeec5,curico,Ordenanzas ordenadas\OCR ok\curico_1056_apruebese_modificacion_via_enmienda_a_la_ordenanza_local_del_plan_regulador__1056.pdf,TEXTO,3,si,2-3,2,ALTA,TEXTO,"CURICO: Diario Oficial 28-mar-2026, decreto 1056 exento, ENMIENDA N4 a la Ordenanza Local del PRC. Norma en pag 2, EN TEXTO PLANO (no imagen): incrementa en 20 por ciento la altura maxima de edificacion de la ZONA ZU-1 (Zona Urbana Central 1) del area urbana de Curico, sumando 2,80 m y quedando en 16,80 m; NO aplica a las localidades de Sarmiento, La Obra, Los Niches ni Cordillerilla. Pag 3 = CUADRO DE COORDENADAS de los vertices del poligono ABCDEFGHIJKLMNoPQA donde rige la enmienda (incluida en el rango: delimita el area de aplicacion). Solo afecta a ZU-1, ningun otro parametro.",S1,2026-07-14T15:39:12
